Emirate_Ar,Emirate_En,Year,اسم المحطة,Type of Location ,نوع موقع المحطة ,Station Name,Month_Ar,Month_En,Category_Type_Ar,Category_Type_En,Value,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2016,كلباء,Residential,سكنية,Kalba,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),121,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2016,مشيرف,Residential,سكنية ,Musharif,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),217,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,الجير,Residential,سكنية ,Al Jeer,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),189,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,البريرات,Residential,سكنية ,Al Burairat,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),163,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,القاسمية,Residential,سكنية ,AL Qasmiah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),146,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,غليلة,Residential,سكنية ,Ghalilah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),160,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),273,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),193,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),210,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),252,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),217,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),215,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مصفح,Industrial,صناعية  ,Mussafah ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),222,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المفرق,Industrial,صناعية,Al Mafraq,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),230,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, شارع العين,Traffic,جانب الطريق,Al Ain Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),116,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),182,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),201,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),159,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),211,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,القوع,Residential,ريفية/ سكنية,Al Qua'a,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),213,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),215,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,حبشان,Residential,ريفية/ سكنية,Habshan South ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),312,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الرويس,Industrial,صناعية  ,Ruwais ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),208,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),176,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,واحة ليوا,Remote,نائية,Liwa Oasis,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),172,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),33,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),100,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),125,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,حتا,Down town,وسط المدينة ,Hatta,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),148,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),167,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),65,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,الحمرية,Industrial ,صناعية ,Al hummariah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),346,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,كلباء,Residential, حضرية/ سكنية,Kalba,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),155,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2015,مشيرف,Residential,سكنية ,Musharif,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),216,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,الجير,Residential,سكنية ,Al Jeer,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),354,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,البريرات,Residential,سكنية ,Al Burairat,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),222,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,القاسمية,Residential,سكنية ,AL Qasmiah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),190,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,غليلة,Residential,سكنية ,Ghalilah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),197.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),188.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),161.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),240.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),67.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مصفح,Industrial,صناعية  ,Mussafah ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),171.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المفرق,Industrial,صناعية,Al Mafraq,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),207.9,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, شارع العين,Traffic,جانب الطريق,Al Ain Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),156.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),164.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),168.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),263.6,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),134.3,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,القوع,Residential,ريفية/ سكنية,Al Qua'a,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),135.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,طريق أبوظبي - طريف السريع,Traffic,جانب الطريق,Abu Dhabi- Tarif Road,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),338.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),163.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,حبشان,Residential,ريفية/ سكنية,Habshan South ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),202.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الرويس,Industrial,صناعية  ,Ruwais ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),211.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),166.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,واحة ليوا,Remote,نائية,Liwa Oasis,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),187.8,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),178.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),128.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),255.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,حتا,Down town,وسط المدينة ,Hatta,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),122.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),34.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),109.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),82.0,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,الجير,Residential,سكنية ,Al Jeer,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,البريرات,Residential,سكنية ,Al Burairat,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),115.9,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,القاسمية,Residential,سكنية ,AL Qasmiah,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),253.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),162.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),188.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),203.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),172.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),201.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),222.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مصفح,Industrial,صناعية  ,Mussafah ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),201.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,المفرق,Industrial,صناعية,Al Mafraq,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),242.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013, شارع العين,Traffic,جانب الطريق,Al Ain Street,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),209.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),164.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),186.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),201.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,القوع,Residential,ريفية/ سكنية,Al Qua'a,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),247.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,طريق أبوظبي - طريف السريع,Traffic,جانب الطريق,Abu Dhabi- Tarif Road,يوليو,July,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),179.0,,,,,,,,,,,,,,,,,
